,m5XiUJ
7549,59.0
7550,60.0
7551,60.0
7552,56.0
7553,56.0
7554,66.0
7555,68.0
7556,74.0
7557,79.0
7558,79.0
7559,87.0
7560,89.0
7561,89.0
7562,86.0
7563,86.0
7564,86.0
7565,98.0
7566,93.0
7567,93.0
7568,96.0
7569,96.0
7570,97.0
7571,98.0
7572,98.0
7573,101.0
7574,101.0
7575,97.0
7576,91.0
7577,89.0
7578,89.0
7579,88.0
7580,88.0
7581,89.0
7582,90.0
7583,94.0
7584,95.0
7585,98.0
7586,99.0
7587,99.0
7588,99.0
7589,98.0
7590,98.0
7591,98.0
7592,100.0
7593,101.0
7594,102.0
7595,101.0
7596,101.0
7597,97.0
7598,88.0
7599,88.0
7600,88.0
7601,88.0
7602,88.0
7603,88.0
7604,92.0
7605,93.0
7606,91.0
7607,92.0
7608,90.0
7609,94.0
7610,96.0
7611,96.0
7612,96.0
7613,96.0
7614,96.0
7615,96.0
7616,95.0
7617,94.0
7618,94.0
7619,96.0
7620,96.0
7621,98.0
7622,101.0
7623,101.0
7624,100.0
7625,100.0
7626,99.0
7627,91.0
7628,88.0
7629,86.0
7630,86.0
7631,82.0
7632,82.0
7633,78.0
7634,78.0
7635,78.0
7636,75.0
7637,78.0
7638,79.0
7639,86.0
7640,87.0
7641,85.0
7642,87.0
7643,85.0
7644,86.0
7645,87.0
7646,89.0
7647,89.0
7648,87.0
7649,91.0
7650,91.0
7651,95.0
7652,95.0
7653,95.0
7654,95.0
7655,93.0
7656,95.0
7657,93.0
7658,88.0
7659,89.0
7660,89.0
7661,89.0
7662,91.0
7663,91.0
7664,91.0
7665,95.0
7666,87.0
7667,87.0
7668,89.0
7669,90.0
7670,92.0
7671,91.0
7672,91.0
7673,91.0
7674,95.0
7675,96.0
7676,96.0
7677,95.0
7678,96.0
7679,97.0
7680,97.0
7681,97.0
7682,97.0
7683,94.0
7684,92.0
7685,93.0
7686,94.0
7687,95.0
7688,96.0
7689,98.0
7690,98.0
7691,98.0
7692,100.0
7693,99.0
7694,99.0
7695,97.0
7696,96.0
7697,89.0
7698,89.0
7699,90.0
7700,91.0
7701,91.0
7702,92.0
7703,99.0
7704,98.0
7705,98.0
7706,96.0
7707,94.0
7708,94.0
7709,95.0
7710,95.0
7711,92.0
7712,80.0
7713,80.0
7714,78.0
7715,78.0
7716,73.0
7717,74.0
7718,74.0
7719,72.0
7720,67.0
7721,65.0
7722,66.0
7723,64.0
7724,65.0
7725,61.0
7726,60.0
7727,60.0
7728,60.0
7729,59.0
7730,61.0
7731,56.0
7732,57.0
7733,56.0
7734,50.0
7735,50.0
7736,48.0
7737,48.0
7738,48.0
7739,40.0
7740,40.0
7741,40.0
7742,40.0
7743,43.0
7744,46.0
7745,46.0
7746,46.0
7747,46.0
7748,45.0
7749,47.0
7750,46.0
7751,46.0
7752,48.0
7753,48.0
7754,53.0
7755,53.0
7756,55.0
7757,59.0
7758,60.0
7759,62.0
7760,61.0
7761,62.0
7762,65.0
7763,63.0
7764,69.0
7765,71.0
7766,69.0
7767,73.0
7768,89.0
7769,89.0
7770,89.0
7771,89.0
7772,88.0
7773,88.0
7774,89.0
7775,82.0
7776,82.0
7777,81.0
7778,85.0
7779,86.0
7780,86.0
7781,86.0
7782,86.0
7783,87.0
7784,87.0
7785,87.0
7786,87.0
7787,87.0
7788,87.0
7789,87.0
7790,87.0
7791,86.0
7792,85.0
7793,85.0
7794,85.0
7795,85.0
7796,86.0
7797,85.0
7798,84.0
7799,93.0
7800,97.0
7801,97.0
7802,97.0
7803,99.0
7804,95.0
7805,95.0
7806,94.0
7807,93.0
7808,92.0
7809,94.0
7810,94.0
7811,95.0
7812,94.0
7813,90.0
7814,98.0
7815,98.0
7816,98.0
7817,98.0
7818,101.0
7819,101.0
7820,101.0
7821,103.0
7822,102.0
7823,100.0
7824,102.0
7825,102.0
7826,101.0
7827,100.0
7828,96.0
7829,96.0
7830,94.0
7831,91.0
7832,89.0
7833,103.0
7834,101.0
7835,103.0
7836,103.0
7837,105.0
7838,99.0
7839,107.0
7840,107.0
7841,104.0
7842,86.0
7843,89.0
7844,89.0
7845,89.0
7846,90.0
7847,90.0
7848,89.0
7849,89.0
7850,92.0
7851,92.0
7852,89.0
7853,88.0
7854,88.0
7855,89.0
7856,96.0
7857,97.0
7858,97.0
7859,103.0
7860,103.0
7861,103.0
7862,103.0
7863,102.0
7864,103.0
7865,103.0
7866,103.0
7867,103.0
7868,103.0
7869,105.0
7870,105.0
7871,105.0
7872,99.0
7873,100.0
7874,96.0
7875,97.0
7876,97.0
7877,104.0
7878,104.0
7879,105.0
7880,105.0
7881,104.0
7882,108.0
7883,112.0
7884,123.0
7885,133.0
7886,133.0
7887,134.0
7888,129.0
7889,131.0
7890,133.0
7891,132.0
7892,127.0
7893,126.0
7894,126.0
7895,127.0
7896,127.0
7897,123.0
7898,129.0
7899,130.0
7900,131.0
7901,132.0
7902,133.0
7903,136.0
7904,138.0
7905,140.0
7906,127.0
7907,126.0
7908,126.0
7909,125.0
7910,125.0
7911,123.0
7912,127.0
7913,119.0
7914,120.0
7915,122.0
7916,123.0
7917,121.0
7918,121.0
7919,123.0
7920,122.0
7921,125.0
7922,125.0
7923,122.0
7924,122.0
7925,122.0
7926,122.0
7927,123.0
7928,122.0
7929,122.0
7930,115.0
7931,112.0
7932,114.0
7933,107.0
7934,107.0
7935,106.0
7936,109.0
7937,108.0
7938,109.0
7939,111.0
7940,111.0
7941,111.0
7942,109.0
7943,109.0
7944,109.0
7945,110.0
7946,111.0
7947,112.0
7948,117.0
7949,122.0
7950,122.0
7951,115.0
7952,115.0
7953,114.0
7954,116.0
7955,117.0
7956,114.0
7957,103.0
7958,90.0
7959,90.0
7960,91.0
7961,91.0
7962,90.0
7963,85.0
7964,85.0
7965,85.0
7966,87.0
7967,91.0
7968,88.0
7969,86.0
7970,90.0
7971,87.0
7972,93.0
7973,95.0
7974,95.0
7975,95.0
7976,95.0
7977,94.0
7978,94.0
7979,93.0
7980,93.0
7981,93.0
7982,93.0
7983,93.0
7984,94.0
7985,94.0
7986,90.0
7987,89.0
7988,89.0
7989,88.0
7990,87.0
7991,85.0
7992,87.0
7993,87.0
7994,92.0
7995,89.0
7996,89.0
7997,90.0
7998,93.0
7999,93.0
8000,93.0
8001,93.0
8002,90.0
8003,90.0
8004,90.0
8005,92.0
8006,92.0
8007,92.0
8008,93.0
8009,93.0
8010,92.0
8011,92.0
8012,92.0
8013,91.0
8014,91.0
8015,90.0
8016,90.0
8017,88.0
8018,88.0
8019,84.0
8020,76.0
8021,74.0
8022,71.0
8023,71.0
8024,71.0
8025,71.0
8026,71.0
8027,72.0
8028,71.0
8029,70.0
8030,72.0
8031,68.0
8032,70.0
8033,74.0
8034,73.0
8035,73.0
8036,72.0
8037,71.0
8038,71.0
8039,71.0
8040,71.0
8041,66.0
8042,65.0
8043,65.0
8044,64.0
8045,64.0
8046,54.0
8047,55.0
8048,57.0
8049,56.0
8050,56.0
8051,55.0
8052,57.0
8053,57.0
8054,57.0
8055,58.0
8056,58.0
8057,59.0
8058,57.0
8059,60.0
8060,61.0
8061,59.0
8062,59.0
8063,60.0
8064,63.0
8065,54.0
8066,53.0
8067,56.0
8068,56.0
8069,57.0
8070,56.0
8071,57.0
8072,56.0
8073,56.0
8074,59.0
8075,58.0
8076,58.0
8077,57.0
8078,57.0
8079,56.0
8080,56.0
8081,56.0
8082,55.0
8083,55.0
8084,53.0
8085,52.0
8086,50.0
8087,50.0
8088,51.0
8089,51.0
8090,51.0
8091,51.0
8092,51.0
8093,51.0
8094,51.0
8095,51.0
8096,54.0
8097,55.0
8098,57.0
8099,57.0
8100,63.0
8101,62.0
8102,62.0
8103,71.0
8104,71.0
8105,80.0
8106,81.0
8107,77.0
8108,78.0
8109,77.0
8110,77.0
8111,77.0
8112,85.0
8113,92.0
8114,92.0
8115,91.0
8116,94.0
8117,97.0
8118,99.0
8119,99.0
8120,99.0
8121,97.0
8122,100.0
8123,99.0
8124,99.0
8125,99.0
8126,98.0
8127,99.0
8128,99.0
8129,99.0
8130,99.0
8131,97.0
8132,97.0
8133,97.0
8134,96.0
8135,98.0
8136,98.0
8137,100.0
8138,102.0
8139,101.0
8140,103.0
8141,102.0
8142,102.0
8143,104.0
8144,99.0
8145,99.0
8146,100.0
8147,96.0
8148,96.0
8149,96.0
8150,96.0
8151,97.0
8152,93.0
8153,95.0
8154,95.0
8155,95.0
8156,95.0
8157,95.0
8158,95.0
8159,95.0
8160,95.0
8161,96.0
8162,95.0
8163,95.0
8164,95.0
8165,97.0
8166,97.0
8167,94.0
8168,97.0
8169,98.0
8170,94.0
8171,95.0
8172,95.0
8173,95.0
8174,96.0
8175,96.0
8176,97.0
8177,85.0
8178,82.0
8179,80.0
8180,77.0
8181,77.0
8182,77.0
8183,77.0
8184,77.0
8185,75.0
8186,74.0
8187,70.0
8188,69.0
8189,63.0
8190,64.0
8191,64.0
8192,62.0
8193,62.0
8194,62.0
8195,54.0
8196,54.0
8197,56.0
8198,57.0
8199,57.0
8200,57.0
8201,57.0
8202,66.0
8203,66.0
8204,69.0
8205,68.0
8206,67.0
8207,64.0
8208,64.0
8209,64.0
8210,65.0
8211,63.0
8212,54.0
8213,59.0
8214,60.0
8215,61.0
8216,61.0
8217,59.0
8218,61.0
8219,61.0
8220,57.0
8221,59.0
8222,59.0
8223,59.0
8224,62.0
8225,71.0
8226,71.0
8227,69.0
8228,69.0
8229,68.0
8230,68.0
8231,69.0
8232,67.0
8233,66.0
8234,66.0
8235,66.0
8236,69.0
8237,71.0
8238,73.0
8239,73.0
8240,73.0
8241,73.0
8242,72.0
8243,73.0
8244,73.0
8245,73.0
8246,73.0
8247,73.0
8248,73.0
8249,75.0
8250,75.0
8251,76.0
8252,75.0
8253,78.0
8254,78.0
8255,78.0
8256,78.0
8257,78.0
8258,73.0
8259,73.0
8260,73.0
8261,74.0
8262,76.0
8263,80.0
8264,80.0
8265,80.0
8266,90.0
8267,91.0
8268,94.0
8269,93.0
8270,93.0
8271,92.0
8272,91.0
8273,92.0
8274,92.0
8275,91.0
8276,80.0
8277,80.0
8278,78.0
8279,80.0
8280,80.0
8281,80.0
8282,80.0
8283,83.0
8284,83.0
8285,84.0
8286,87.0
8287,83.0
8288,87.0
8289,87.0
8290,100.0
8291,102.0
8292,101.0
8293,102.0
8294,104.0
8295,102.0
8296,105.0
8297,100.0
8298,100.0
8299,91.0
8300,90.0
8301,96.0
8302,96.0
8303,97.0
8304,97.0
8305,98.0
8306,98.0
8307,97.0
8308,97.0
8309,98.0
8310,95.0
8311,96.0
8312,94.0
8313,95.0
8314,100.0
8315,101.0
8316,100.0
8317,102.0
8318,117.0
8319,122.0
8320,122.0
8321,123.0
8322,121.0
8323,121.0
8324,120.0
8325,121.0
8326,122.0
8327,130.0
8328,130.0
8329,130.0
8330,130.0
8331,130.0
8332,128.0
8333,138.0
8334,137.0
8335,143.0
8336,143.0
8337,144.0
8338,143.0
8339,142.0
8340,136.0
8341,135.0
8342,134.0
8343,137.0
8344,137.0
8345,137.0
8346,136.0
8347,135.0
8348,135.0
8349,136.0
8350,137.0
8351,140.0
8352,140.0
8353,143.0
8354,143.0
8355,148.0
8356,147.0
8357,144.0
8358,142.0
8359,142.0
8360,140.0
8361,141.0
8362,135.0
8363,134.0
8364,126.0
8365,124.0
8366,125.0
8367,125.0
8368,125.0
8369,123.0
8370,124.0
8371,125.0
8372,124.0
8373,124.0
8374,124.0
8375,121.0
8376,121.0
8377,121.0
8378,126.0
8379,123.0
8380,123.0
8381,122.0
8382,122.0
8383,122.0
8384,114.0
8385,114.0
8386,114.0
8387,111.0
8388,109.0
8389,107.0
8390,106.0
8391,105.0
8392,101.0
8393,97.0
8394,97.0
8395,97.0
8396,103.0
8397,103.0
8398,117.0
8399,116.0
8400,121.0
8401,122.0
8402,127.0
8403,127.0
8404,128.0
8405,126.0
8406,128.0
8407,114.0
8408,114.0
8409,104.0
8410,105.0
8411,105.0
8412,106.0
8413,106.0
8414,109.0
8415,109.0
8416,107.0
8417,106.0
8418,106.0
8419,115.0
8420,117.0
8421,119.0
8422,120.0
8423,118.0
8424,115.0
8425,114.0
8426,115.0
8427,110.0
8428,107.0
8429,108.0
8430,108.0
8431,109.0
8432,108.0
8433,106.0
8434,106.0
8435,105.0
8436,105.0
8437,105.0
8438,105.0
8439,102.0
8440,106.0
8441,104.0
8442,105.0
8443,104.0
8444,104.0
8445,104.0
8446,104.0
8447,103.0
8448,103.0
8449,103.0
8450,107.0
8451,107.0
8452,107.0
8453,107.0
8454,106.0
8455,106.0
8456,112.0
8457,111.0
8458,108.0
8459,108.0
8460,106.0
8461,112.0
8462,116.0
8463,115.0
8464,114.0
8465,103.0
8466,107.0
8467,117.0
8468,117.0
8469,116.0
8470,108.0
8471,101.0
8472,95.0
8473,95.0
8474,91.0
8475,92.0
8476,86.0
8477,86.0
8478,86.0
8479,88.0
8480,88.0
8481,87.0
8482,87.0
8483,84.0
8484,82.0
8485,81.0
8486,79.0
8487,80.0
8488,78.0
8489,78.0
8490,87.0
8491,87.0
8492,86.0
8493,87.0
8494,87.0
8495,86.0
8496,87.0
8497,86.0
8498,87.0
8499,89.0
8500,88.0
8501,89.0
8502,89.0
8503,88.0
8504,90.0
8505,88.0
8506,89.0
8507,86.0
8508,86.0
8509,84.0
8510,84.0
8511,84.0
8512,84.0
8513,84.0
8514,84.0
8515,84.0
8516,83.0
8517,81.0
8518,81.0
8519,81.0
8520,81.0
8521,82.0
8522,79.0
8523,79.0
8524,74.0
8525,71.0
8526,71.0
8527,71.0
8528,70.0
8529,71.0
8530,66.0
8531,67.0
8532,67.0
8533,65.0
8534,64.0
8535,60.0
8536,57.0
8537,59.0
8538,60.0
8539,60.0
8540,56.0
8541,54.0
8542,54.0
8543,53.0
8544,53.0
8545,53.0
8546,52.0
8547,52.0
8548,51.0
8549,47.0
8550,47.0
8551,48.0
8552,48.0
8553,47.0
8554,47.0
8555,48.0
8556,48.0
8557,48.0
8558,49.0
8559,48.0
8560,48.0
8561,46.0
8562,46.0
8563,48.0
8564,38.0
8565,39.0
8566,39.0
8567,39.0
8568,39.0
8569,42.0
8570,41.0
8571,42.0
8572,42.0
8573,39.0
8574,39.0
8575,39.0
8576,39.0
8577,39.0
8578,35.0
8579,39.0
8580,36.0
8581,38.0
8582,38.0
8583,38.0
8584,43.0
8585,43.0
8586,44.0
8587,44.0
8588,44.0
8589,44.0
8590,43.0
8591,43.0
8592,44.0
8593,44.0
8594,45.0
8595,43.0
8596,43.0
8597,43.0
8598,43.0
8599,43.0
8600,43.0
8601,62.0
8602,63.0
8603,65.0
8604,65.0
8605,66.0
8606,69.0
8607,69.0
8608,69.0
8609,70.0
8610,70.0
8611,69.0
8612,67.0
8613,67.0
8614,67.0
8615,65.0
8616,65.0
8617,65.0
8618,67.0
8619,67.0
8620,67.0
8621,67.0
8622,67.0
8623,67.0
8624,67.0
8625,66.0
8626,66.0
8627,66.0
8628,65.0
8629,63.0
8630,63.0
8631,65.0
8632,64.0
8633,64.0
8634,65.0
8635,66.0
8636,66.0
8637,66.0
8638,65.0
8639,65.0
8640,66.0
8641,66.0
8642,66.0
8643,64.0
8644,64.0
8645,64.0
8646,63.0
8647,64.0
8648,62.0
8649,63.0
8650,64.0
8651,64.0
8652,64.0
8653,59.0
8654,59.0
8655,59.0
8656,59.0
8657,52.0
8658,53.0
8659,53.0
8660,55.0
8661,55.0
8662,56.0
8663,56.0
8664,56.0
8665,55.0
8666,77.0
8667,78.0
8668,83.0
8669,84.0
8670,82.0
8671,84.0
8672,85.0
8673,85.0
8674,85.0
8675,63.0
8676,62.0
8677,59.0
8678,63.0
8679,61.0
8680,58.0
8681,59.0
8682,59.0
8683,60.0
8684,61.0
8685,60.0
8686,61.0
8687,60.0
8688,64.0
8689,65.0
8690,65.0
8691,65.0
8692,65.0
8693,65.0
8694,65.0
8695,68.0
8696,68.0
8697,68.0
8698,70.0
8699,70.0
8700,74.0
8701,76.0
8702,77.0
8703,78.0
8704,78.0
8705,77.0
8706,77.0
8707,77.0
8708,78.0
8709,77.0
8710,77.0
8711,76.0
8712,78.0
8713,79.0
8714,78.0
8715,78.0
8716,78.0
8717,79.0
8718,79.0
8719,78.0
8720,76.0
8721,76.0
8722,76.0
8723,77.0
8724,76.0
8725,79.0
8726,81.0
8727,81.0
8728,81.0
8729,81.0
8730,81.0
8731,83.0
8732,82.0
8733,84.0
8734,85.0
8735,85.0
8736,84.0
8737,84.0
8738,84.0
8739,83.0
8740,62.0
8741,61.0
8742,58.0
8743,57.0
8744,57.0
8745,58.0
8746,59.0
8747,57.0
8748,57.0
8749,60.0
8750,60.0
8751,62.0
8752,63.0
8753,65.0
8754,66.0
8755,66.0
8756,66.0
8757,65.0
8758,64.0
8759,64.0
8760,62.0
8761,63.0
8762,58.0
8763,57.0
8764,57.0
8765,57.0
8766,57.0
8767,57.0
8768,57.0
8769,57.0
8770,57.0
8771,57.0
8772,54.0
8773,54.0
8774,50.0
8775,49.0
8776,48.0
8777,48.0
8778,46.0
8779,47.0
8780,47.0
8781,48.0
8782,48.0
8783,48.0
8784,48.0
8785,46.0
8786,44.0
8787,45.0
8788,45.0
8789,47.0
8790,47.0
8791,45.0
8792,45.0
8793,45.0
8794,46.0
8795,46.0
8796,46.0
8797,45.0
8798,45.0
8799,44.0
8800,43.0
8801,44.0
8802,45.0
8803,45.0
8804,48.0
8805,46.0
8806,47.0
8807,43.0
8808,41.0
8809,43.0
8810,43.0
8811,43.0
8812,44.0
8813,44.0
8814,47.0
8815,45.0
8816,44.0
8817,45.0
8818,44.0
8819,45.0
8820,45.0
8821,45.0
8822,46.0
8823,43.0
8824,43.0
8825,41.0
8826,40.0
8827,42.0
8828,42.0
8829,41.0
8830,41.0
8831,41.0
8832,41.0
8833,41.0
8834,46.0
8835,44.0
8836,44.0
8837,44.0
8838,47.0
8839,47.0
8840,47.0
8841,47.0
8842,47.0
8843,43.0
8844,43.0
8845,43.0
8846,44.0
8847,44.0
8848,44.0
8849,44.0
8850,44.0
8851,43.0
8852,43.0
8853,42.0
8854,42.0
8855,41.0
8856,40.0
8857,42.0
8858,41.0
8859,43.0
8860,43.0
8861,44.0
8862,44.0
8863,42.0
8864,42.0
8865,42.0
8866,44.0
8867,44.0
8868,44.0
8869,46.0
8870,46.0
8871,46.0
8872,46.0
8873,46.0
8874,47.0
8875,47.0
8876,47.0
8877,46.0
8878,44.0
8879,47.0
8880,46.0
8881,47.0
8882,47.0
8883,46.0
8884,46.0
8885,47.0
8886,46.0
8887,46.0
8888,44.0
8889,44.0
8890,47.0
8891,46.0
8892,46.0
8893,46.0
8894,45.0
8895,45.0
8896,44.0
8897,44.0
8898,45.0
8899,45.0
8900,48.0
8901,48.0
8902,46.0
8903,54.0
8904,55.0
8905,55.0
8906,56.0
8907,56.0
8908,55.0
8909,55.0
8910,56.0
8911,57.0
8912,59.0
8913,59.0
8914,59.0
8915,59.0
8916,59.0
8917,59.0
8918,60.0
8919,61.0
8920,60.0
8921,60.0
8922,60.0
8923,60.0
8924,60.0
8925,61.0
8926,65.0
8927,66.0
8928,67.0
8929,64.0
8930,64.0
8931,65.0
8932,65.0
8933,68.0
8934,68.0
8935,68.0
8936,69.0
8937,66.0
8938,66.0
8939,67.0
8940,66.0
8941,66.0
8942,69.0
8943,71.0
8944,71.0
8945,73.0
8946,73.0
8947,72.0
8948,70.0
8949,70.0
8950,72.0
8951,72.0
8952,72.0
8953,71.0
8954,71.0
8955,70.0
8956,70.0
8957,71.0
8958,71.0
8959,71.0
8960,72.0
8961,73.0
8962,74.0
8963,80.0
8964,77.0
8965,78.0
8966,79.0
8967,76.0
8968,75.0
8969,73.0
8970,73.0
8971,77.0
8972,71.0
8973,70.0
8974,70.0
8975,69.0
8976,69.0
8977,72.0
8978,74.0
8979,74.0
8980,70.0
8981,73.0
8982,73.0
8983,74.0
8984,76.0
8985,76.0
8986,66.0
8987,66.0
8988,66.0
8989,67.0
8990,67.0
8991,72.0
8992,72.0
8993,71.0
8994,71.0
8995,75.0
8996,76.0
8997,79.0
8998,79.0
8999,79.0
9000,74.0
9001,74.0
9002,71.0
9003,71.0
9004,70.0
9005,70.0
9006,71.0
9007,70.0
9008,71.0
9009,71.0
9010,70.0
9011,70.0
9012,70.0
9013,69.0
9014,69.0
9015,72.0
9016,69.0
9017,68.0
9018,68.0
9019,68.0
9020,69.0
9021,69.0
9022,69.0
9023,69.0
9024,66.0
9025,67.0
9026,70.0
9027,71.0
9028,71.0
9029,69.0
9030,70.0
9031,70.0
9032,70.0
9033,72.0
9034,71.0
9035,70.0
9036,68.0
9037,65.0
9038,65.0
9039,60.0
9040,62.0
9041,62.0
9042,63.0
9043,63.0
9044,62.0
9045,58.0
9046,58.0
9047,58.0
9048,59.0
9049,61.0
9050,60.0
9051,53.0
9052,52.0
9053,54.0
9054,54.0
9055,53.0
9056,55.0
9057,54.0
9058,55.0
9059,55.0
9060,60.0
9061,60.0
9062,61.0
9063,61.0
9064,61.0
9065,58.0
9066,59.0
9067,59.0
9068,59.0
9069,55.0
9070,54.0
9071,50.0
9072,50.0
9073,50.0
9074,51.0
9075,51.0
9076,51.0
9077,51.0
9078,52.0
9079,50.0
9080,49.0
9081,51.0
9082,51.0
9083,51.0
9084,52.0
9085,52.0
9086,55.0
9087,55.0
9088,55.0
9089,54.0
9090,54.0
9091,54.0
9092,54.0
9093,52.0
9094,50.0
9095,49.0
9096,49.0
9097,50.0
9098,48.0
9099,47.0
9100,50.0
9101,52.0
9102,52.0
9103,52.0
9104,51.0
9105,58.0
9106,57.0
9107,57.0
9108,56.0
9109,58.0
9110,59.0
9111,58.0
9112,59.0
9113,61.0
9114,61.0
9115,60.0
9116,61.0
9117,64.0
9118,64.0
9119,64.0
9120,64.0
9121,67.0
9122,66.0
9123,68.0
9124,68.0
9125,68.0
9126,69.0
9127,68.0
9128,74.0
9129,76.0
9130,74.0
9131,73.0
9132,72.0
9133,68.0
9134,68.0
9135,68.0
9136,68.0
9137,67.0
9138,66.0
9139,67.0
9140,66.0
9141,69.0
9142,69.0
9143,70.0
9144,70.0
9145,70.0
9146,72.0
9147,72.0
9148,74.0
9149,74.0
9150,75.0
9151,76.0
9152,78.0
9153,77.0
9154,76.0
9155,75.0
9156,77.0
9157,77.0
9158,76.0
9159,73.0
9160,73.0
9161,73.0
9162,73.0
9163,73.0
9164,82.0
9165,82.0
9166,85.0
9167,85.0
9168,87.0
9169,88.0
9170,108.0
9171,109.0
9172,110.0
9173,111.0
9174,107.0
9175,107.0
9176,108.0
9177,108.0
9178,108.0
9179,99.0
9180,102.0
9181,100.0
9182,105.0
9183,102.0
9184,102.0
9185,103.0
9186,102.0
9187,100.0
9188,99.0
9189,97.0
9190,97.0
9191,96.0
9192,96.0
9193,97.0
9194,97.0
9195,93.0
9196,95.0
9197,94.0
9198,94.0
9199,93.0
9200,102.0
9201,104.0
9202,99.0
9203,98.0
9204,98.0
9205,101.0
9206,101.0
9207,113.0
9208,116.0
9209,116.0
9210,117.0
9211,117.0
9212,125.0
9213,123.0
9214,122.0
9215,123.0
9216,122.0
9217,132.0
9218,133.0
9219,132.0
9220,129.0
9221,129.0
9222,132.0
9223,132.0
9224,131.0
9225,131.0
9226,124.0
9227,126.0
9228,128.0
9229,136.0
9230,135.0
9231,134.0
9232,134.0
9233,133.0
9234,133.0
9235,133.0
9236,133.0
9237,135.0
9238,126.0
9239,132.0
9240,134.0
9241,134.0
9242,134.0
9243,138.0
9244,124.0
9245,124.0
9246,123.0
9247,121.0
9248,120.0
9249,120.0
9250,121.0
9251,121.0
9252,120.0
9253,120.0
9254,120.0
9255,120.0
9256,119.0
9257,119.0
9258,120.0
9259,119.0
9260,119.0
9261,119.0
9262,119.0
9263,119.0
9264,119.0
9265,122.0
9266,122.0
9267,122.0
9268,122.0
9269,124.0
9270,124.0
9271,124.0
9272,132.0
9273,132.0
9274,125.0
9275,125.0
9276,123.0
9277,126.0
9278,123.0
9279,120.0
9280,121.0
9281,104.0
9282,106.0
9283,106.0
9284,106.0
9285,106.0
9286,96.0
9287,98.0
9288,98.0
9289,98.0
9290,98.0
9291,90.0
9292,93.0
9293,93.0
9294,93.0
9295,94.0
9296,93.0
9297,93.0
9298,95.0
9299,102.0
9300,102.0
9301,99.0
9302,99.0
9303,96.0
9304,93.0
9305,94.0
9306,94.0
9307,94.0
9308,95.0
9309,94.0
9310,97.0
9311,97.0
9312,96.0
9313,105.0
9314,98.0
9315,99.0
9316,101.0
9317,88.0
9318,87.0
9319,92.0
9320,92.0
9321,92.0
9322,91.0
9323,92.0
9324,95.0
9325,95.0
9326,96.0
9327,96.0
9328,96.0
9329,95.0
9330,95.0
9331,101.0
9332,102.0
9333,102.0
9334,102.0
9335,101.0
9336,102.0
9337,106.0
9338,107.0
9339,104.0
9340,104.0
9341,103.0
9342,105.0
9343,101.0
9344,101.0
9345,107.0
9346,96.0
9347,99.0
9348,99.0
9349,97.0
9350,98.0
9351,94.0
9352,100.0
9353,98.0
9354,98.0
9355,99.0
9356,95.0
9357,97.0
9358,97.0
9359,97.0
9360,98.0
9361,92.0
9362,92.0
9363,91.0
9364,92.0
9365,92.0
9366,86.0
9367,86.0
9368,86.0
9369,85.0
9370,86.0
9371,88.0
9372,86.0
9373,75.0
9374,75.0
9375,76.0
9376,75.0
9377,75.0
9378,75.0
9379,73.0
9380,74.0
9381,74.0
9382,62.0
9383,62.0
9384,67.0
9385,67.0
9386,75.0
9387,76.0
9388,78.0
9389,78.0
9390,79.0
9391,78.0
9392,79.0
9393,75.0
9394,85.0
9395,89.0
9396,90.0
9397,88.0
9398,81.0
9399,81.0
9400,80.0
9401,81.0
9402,81.0
9403,76.0
9404,75.0
9405,73.0
9406,72.0
9407,72.0
9408,72.0
9409,71.0
9410,71.0
9411,69.0
9412,69.0
9413,69.0
9414,72.0
9415,76.0
9416,79.0
9417,81.0
9418,81.0
9419,77.0
9420,77.0
9421,78.0
9422,78.0
9423,78.0
9424,71.0
9425,69.0
9426,70.0
9427,70.0
9428,73.0
9429,72.0
9430,71.0
9431,70.0
9432,69.0
9433,68.0
9434,68.0
9435,69.0
9436,69.0
9437,69.0
9438,68.0
9439,69.0
9440,70.0
9441,72.0
9442,72.0
9443,72.0
9444,72.0
9445,70.0
9446,70.0
9447,70.0
9448,79.0
9449,79.0
9450,79.0
9451,89.0
9452,89.0
9453,89.0
9454,88.0
9455,88.0
9456,88.0
9457,90.0
9458,92.0
9459,94.0
9460,95.0
9461,93.0
9462,93.0
9463,89.0
9464,88.0
9465,88.0
9466,89.0
9467,89.0
9468,80.0
9469,73.0
9470,73.0
9471,73.0
9472,74.0
9473,75.0
9474,75.0
9475,74.0
9476,76.0
9477,76.0
9478,77.0
9479,77.0
9480,80.0
9481,80.0
9482,82.0
9483,82.0
9484,84.0
9485,84.0
9486,85.0
9487,85.0
9488,85.0
9489,82.0
9490,78.0
9491,78.0
9492,84.0
9493,85.0
9494,84.0
9495,82.0
9496,82.0
9497,82.0
9498,84.0
9499,84.0
9500,85.0
9501,82.0
9502,79.0
9503,80.0
9504,80.0
9505,83.0
9506,84.0
9507,87.0
9508,87.0
9509,85.0
9510,85.0
9511,85.0
9512,85.0
9513,85.0
9514,87.0
9515,85.0
9516,84.0
9517,75.0
9518,75.0
9519,76.0
9520,76.0
9521,78.0
9522,78.0
9523,77.0
9524,78.0
9525,74.0
9526,74.0
9527,74.0
9528,72.0
9529,72.0
9530,73.0
9531,73.0
9532,67.0
9533,67.0
9534,67.0
9535,67.0
9536,71.0
9537,71.0
9538,73.0
9539,72.0
9540,79.0
9541,81.0
9542,82.0
9543,82.0
9544,80.0
9545,81.0
9546,82.0
